Line Start,Line End,Rhyme Type,Words
475,476,F,cloisterer / carpenter
477,478,M,chirche / wirche
479,480,M,went / sent
481,482,M,go / two
483,484,M,certeyn / seyn
485,486,M,light / nyght
487,488,M,stirynge / sprynge
489,490,M,crowe / wyndowe
491,492,M,wal / al
493,494,M,mysse / kisse
495,496,M,parfay / day
497,498,M,leeste / feeste
499,500,M,tweye / pleye
501,502,M,anon / absolon
503,504,M,poynt-devys / lycorys
505,506,M,heer / beer
507,508,M,gracious / hous
509,510,M,shot-wyndowe / lowe
511,512,M,soun / alisoun
513,514,M,cynamome / me
515,516,M,wo / go
517,518,M,swete / tete
519,520,M,love-longynge / moornynge
521,522,M,mayde / sayde
523,524,M,me / blame
525,526,M,absolon / ston
527,528,M,wey / weylawey
529,530,M,biset / bet
531,532,M,me / she
533,534,M,absolon / anon
535,536,M,stille / fille
537,538,M,knees / degrees
539,540,M,moore / oore
541,542,M,haste / faste
543,544,M,espie / drie
545,546,M,cole / hole
547,548,M,wers / ers
549,550,M,this / amys
551,552,M,berd / yherd
553,554,M,do / to
555,556,M,pas / nicholas
557,558,M,weel / deel
559,560,M,byte / quyte
561,562,F,lippes / chippes
563,564,F,allas / sathanas
565,566,M,he / be
567,568,E,ybleynt / yqueynt
569,570,M,ers / kers
571,572,M,maladie / deffie
573,574,M,ybete / strete
575,576,M,gerveys / harneys
577,578,F,bisily / esily
579,580,F,anon / absalon
581,582,M,tree / benedicitee
583,584,M,woot / viritoot
585,586,M,mene / bene
587,588,M,yaf / distaf
589,590,M,deere / heere
591,592,M,doone / soone
593,594,M,gold / untold
595,596,M,smyth / therwith
597,598,M,may / day
599,600,M,stele / stele
601,602,M,wal / therwithal
603,604,M,er / ther
605,606,M,theef / leef
607,608,M,deerelyng / ryng
609,610,M,save / ygrave
611,612,M,kisse / pisse
613,614,M,jape / scape
615,616,M,hastily / pryvely
617,618,M,haunche-bon / absolon
619,620,M,art / fart
621,622,M,thonder-dent / yblent
623,624,M,hoot / smoot
625,626,M,aboute / toute
627,628,M,dye / crye
629,630,M,herte / sterte
631,632,M,wood / flood
633,634,M,mo / atwo
635,636,M,selle / celle
637,638,M,lay / nicholay
639,640,M,strete / grete
641,642,M,man / wan
643,644,M,arm / harm
645,646,M,doun / alisoun
647,648,M,wood / flood
649,650,M,vanytee / thre
651,652,M,above / love
653,654,M,compaignye / fantasye
655,656,M,cape / jape
657,658,M,answerde / herde
659,660,M,adoun / toun
661,662,M,oother / brother
663,664,M,stryf / wyf
665,666,M,jalousye / ye
667,668,M,towte / rowte
