Line Start,Line End,Rhyme Type,Words
485,486,M,yen / cryen
487,488,M,therwithal / smal
489,490,F,descrecioun / regioun
491,492,M,passe / asse
493,494,M,cok / knok
495,496,M,nyce / benefice
497,498,E,comparisoun / discrecioun
499,500,F,subtiltee / charitee
501,502,M,countrefete / bete
503,504,F,espie / flaterie
505,506,E,flatour / losengeour
507,508,M,feith / seith
509,510,F,flaterye / trecherye
511,512,M,toos / cloos
513,514,F,nones / atones
515,516,M,chauntecleer / beer
517,518,F,sewed / eschewed
519,520,F,bemes / dremes
521,522,F,meschaunce / plesaumce
523,524,M,chauntecleer / poweer
525,526,M,multiplye / dye
527,528,M,soverayn / slayn
529,530,M,soore / loore
531,532,M,ye / he
533,534,M,pleyne / peyne
535,536,M,lamentacion / ylion
537,538,M,swerd / berd
539,540,M,eneydos / clos
541,542,M,sighte / shrighte
543,544,M,wyf / lyf
545,546,M,cartage / rage
547,548,M,sterte / herte
549,550,M,ye / citee
551,552,F,wyves / lyves
553,554,M,slayn / agayn
555,556,M,two / wo
557,558,M,anon / gon
559,560,F,away / weylaway
561,562,M,ran / man
563,564,M,gerland / hand
565,566,F,hogges / dogges
567,568,M,eeke / breeke
569,570,M,helle / quelle
571,572,M,trees / bees
573,574,M,benedicitee / meynee
575,576,M,shrille / kille
577,578,M,fox / box
579,580,F,powped / howped
581,582,M,falle / alle
583,584,M,sodeynly / enemy
585,586,M,bak / spak
587,588,M,ye / me
589,590,M,alle / falle
591,592,M,syde / abyde
593,594,M,anon / don
595,596,M,sodeynly / delyverly
597,598,M,anon / gon
599,600,M,allas / trespas
601,602,M,aferd / yerd
603,604,M,entente / mente
605,606,M,so / two
607,608,F,bones / ones
609,610,M,flaterye / ye
611,612,M,see / thee
613,614,F,meschaunce / governaunce
615,616,M,pees / recchelees
617,618,M,flaterye / folye
619,620,M,hen / men
621,622,M,is / ywis
623,624,M,stille / wille
625,626,M,men / amen
