Line Start,Line End,Rhyme Type,Words
473,474,M,targe / large
475,476,M,sharpe / carpe
477,478,F,chaunce / daunce
479,480,M,religioun / toun
481,482,M,werk / clerk
483,484,M,preche / teche
485,486,E,diligent / pacient
487,488,F,sithes / tithes
489,490,M,doute / aboute
491,492,F,substaunce / suffisaunce
493,494,F,asonder / thonder
495,496,M,visite / lite
497,498,M,staf / yaf
499,500,M,taughte / caughte
501,502,M,therto / do
503,504,M,truste / ruste
505,506,M,keep / sheep
507,508,M,yive / lyve
509,510,M,hyre / myre
511,512,F,poules / soules
513,514,M,withholde / folde
515,516,F,myscarie / mercenarie
517,518,E,vertuous / despitous
519,520,M,digne / benygne
521,522,F,fairnesse / bisynesse
523,524,M,obstinat / estat
525,526,M,nonys / ys
527,528,M,reverence / conscience
529,530,M,twelve / hymselve
531,532,F,brother / fother
533,534,M,he / charitee
535,536,M,herte / smerte
537,538,M,hymselve / delve
539,540,M,wight / myght
541,542,M,wel / catel
543,544,M,mere / millere
545,546,F,also / namo
547,548,F,nones / bones
549,550,M,cam / ram
551,552,M,knarre / harre
553,554,M,heed / reed
555,556,M,spade / hade
557,558,F,herys / erys
559,560,M,wyde / syde
561,562,M,forneys / goliardeys
563,564,M,harlotries / thries
565,566,M,pardee / he
567,568,M,sowne / towne
569,570,M,temple / exemple
571,572,M,vitaille / taille
573,574,M,achaat / staat
575,576,M,grace / pace
577,578,M,men / ten
579,580,M,curious / hous
581,582,M,lond / engelond
583,584,M,good / wood
585,586,M,desire / shire
587,588,M,happe / cappe
589,590,M,man / kan
591,592,M,yshorn / biforn
593,594,M,lene / ysene
595,596,M,bynne / wynne
597,598,M,reyn / greyn
599,600,M,dayerye / pultrye
601,602,F,governynge / rekenynge
603,604,M,age / arrerage
605,606,M,hyne / covyne
607,608,M,deeth / heeth
609,610,M,place / purchace
611,612,M,pryvely / subtilly
613,614,M,good / hood
615,616,M,myster / carpenter
617,618,M,stot / scot
619,620,M,hade / blade
621,622,M,telle / baldeswelle
623,624,M,aboute / route
625,626,M,place / face
627,628,M,narwe / sparwe
629,630,M,berd / aferd
631,632,M,brymstoon / noon
633,634,M,byte / white
635,636,F,chekes / lekes
637,638,M,blood / wood
639,640,M,wyn / latyn
641,642,M,thre / decree
643,644,M,day / jay
645,646,M,pope / grope
647,648,M,philosophie / crie
649,650,M,kynde / fynde
651,652,M,wyn / concubyn
653,654,M,fulle / pulle
655,656,M,felawe / awe
657,658,M,curs / purs
659,660,M,be / he
661,662,M,dede / drede
663,664,M,savith / significavit
665,666,M,gise / diocise
