Ending,Gender,Notes
-a,,
-aade,,
-aas,,
-aat,,
-abbe,,
-able,,
-ables,,
-ace,,
-acis,,
-acle,,
-acles,,
-ad,,
-adde,,
-ade,,
-adel,,
-af,,
-aft,,
-age,,
-ages,,
-aille,,
-ailles,,
"-air, -aire, -ayre",,
-airyes,,
-ak,,
-ake,,
-aked,,
-aken,,
-aketh,,
-akke,,
-al,,
-ale,,
"-ales, -alys",,
-alk,,
-alke,,
-alkes,,
-alle,,
-alles,,
-alleth,,
-als,,
-alwes,,
-am,,
-ame,,
-amed,,
-ames,,
-an,,
-ance,,
-and,,
-ande,,
-andes,,
-ane,,
-anes,,
-angles,,
-ankes,,
-anne,,
-ant,,
-ante,,
-ape,,
-apen,,
-apes,,
-appe,,
-ar,,
"-ard, -arde",,
-are,,
-arge,,
"-arie, -arye",,
-aried,,
-aries,,
-arm,,
-armes,,
-arpe,,
-arre,,
-ars,,
-art,,
-arte,,
-arwe,,
-as,,
-ased,,
-asse,,
-ast,,
-aste,,
-astre,,
-at,,
-ate,,
-ater,,
-atered,,
-athe,,
-atz,,
-aude,,
-aught,,
-aughte,,
-aunce,,
-aunces,,
-aunceth,,
-aunde,,
-aunt,,
