Line Number,Word 1,Word 2,Rhyme Type
555,spade,hade,M
557,herys,erys,F
559,wyde,syde,M
561,forneys,goliardeys,M
563,harlotries,thries,M
565,pardee,he,M
567,sowne,towne,M
569,temple,exemple,M
571,vitaille,taille,M
573,achaat,staat,M
575,grace,pace,M
577,men,ten,M
579,curious,hous,M
581,lond,engelond,M
583,good,wood,M
585,desire,shire,M
587,happe,cappe,M
589,man,kan,M
591,yshorn,biforn,M
593,lene,ysene,M
595,bynne,wynne,M
597,reyn,greyn,M
599,dayerye,pultrye,M
601,governynge,rekenynge,F
603,age,arrerage,M
605,hyne,covyne,M
607,deeth,heeth,M
609,place,purchace,M
611,pryvely,subtilly,M
613,good,hood,M
615,myster,carpenter,M
617,stot,scot,M
619,hade,blade,M
621,telle,baldeswelle,M
623,aboute,route,M
625,place,face,M
627,narwe,sparwe,M
629,berd,aferd,M
631,brymstoon,noon,M
633,byte,white,M
635,chekes,lekes,F
637,blood,wood,M
639,wyn,latyn,M
641,thre,decree,M
643,day,jay,M
645,pope,grope,M
647,philosophie,crie,M
649,kynde,fynde,M
651,wyn,concubyn,M
653,fulle,pulle,M
655,felawe,awe,M
657,curs,purs,M
659,be,he,M
661,dede,drede,M
663,savith,significavit,F
665,gise,diocise,M
667,reed,heed,M
669,ale-stake,cake,M
671,pardoner,compeer,E
673,rome,me,M
675,burdoun,soun,M
677,wex,flex,M
679,hadde,overspradde,M
681,oon,noon,M
683,walet,jet,M
685,bare,hare,M
687,cappe,lappe,M
689,hoot,goot,M
691,have,shave,M
693,mare,ware,M
695,pardoner,pilwe-beer,E
697,veyl,seyl,M
699,wente,hente,M
701,stones,bones,F
703,fond,lond,M
705,moneye,tweye,M
707,japes,apes,F
709,laste,ecclesiaste,M
711,storie,offertorie,F
713,songe,tonge,M
715,koude,loude,M
717,clause,cause,M
719,compaignye,hostelrye,M
721,belle,telle,M
723,nyght,alyght,M
725,viage,pilgrimage,M
727,curteisye,vileynye,M
729,mateere,cheere,M
731,proprely,I,M
733,man,kan,M
735,charge,large,M
737,untrewe,newe,M
739,brother,another,F
741,writ,it,M
743,rede,dede,M
745,me,degree,M
747,stonde,understonde,M
749,everichon,anon,M
751,beste,leste,M
753,withalle,halle,M
755,stepe,chepe,M
757,ytaught,naught,M
759,man,bigan,M
761,thynges,rekenynges,F
763,trewely,hertely,F
765,lye,compaignye,M
767,now,how,M
769,bythoght,noght,M
771,speede,meede,F
773,weye,pleye,M
775,noon,stoon,M
777,disport,confort,M
779,assent,juggement,M
781,seye,weye,M
783,deed,heed,M
785,speche,seche,M
787,wys,avys,M
789,leste,beste,M
791,desdeyn,pleyn,M
793,weye,tweye,M
795,so,two,M
797,bifalle,alle,M
799,caas,solaas,M
801,cost,post,M
803,caunterbury,mury,F
805,ryde,gyde,M
807,withseye,weye,M
809,so,mo,M
811,therfore,swore,M
813,also,so,M
815,governour,reportour,M
817,pris,devys,M
819,assent,juggement,M
821,anon,echon,M
823,taryynge,sprynge,F
825,cok,flok,M
827,paas,thomas,M
829,areste,leste,M
831,recorde,accorde,M
833,tale,ale,M
835,juggement,spent,M
837,twynne,bigynne,M
839,lord,accord,M
841,prioresse,shamefastnesse,M
843,man,bigan,M
845,was,cas,M
847,knyght,wyght,M
849,resoun,composicioun,F
851,mo,so,M
853,obedient,assent,E
855,game,name,M
857,seye,weye,M
859,cheere,heere,M
